Row Number,GCCSA Code 2021,GCCSA,State,Postcode,Postcode Area (sq km),GCCSA Area (sq km)
1,1GSYD,Greater Sydney,New South Wales,2000,4.2871,12368.6858
2,1GSYD,Greater Sydney,New South Wales,2007,0.5588,12368.6858
3,1GSYD,Greater Sydney,New South Wales,2008,0.845,12368.6858
4,1GSYD,Greater Sydney,New South Wales,2009,0.9299,12368.6858
5,1GSYD,Greater Sydney,New South Wales,2010,2.1733,12368.6858
6,1GSYD,Greater Sydney,New South Wales,2011,1.4054,12368.6858
7,1GSYD,Greater Sydney,New South Wales,2015,4.2157,12368.6858
8,1GSYD,Greater Sydney,New South Wales,2016,1.1717,12368.6858
9,1GSYD,Greater Sydney,New South Wales,2017,1.9386,12368.6858
10,1GSYD,Greater Sydney,New South Wales,2018,3.9305,12368.6858
11,1GSYD,Greater Sydney,New South Wales,2019,7.3691,12368.6858
12,1GSYD,Greater Sydney,New South Wales,2020,11.9607,12368.6858
13,1GSYD,Greater Sydney,New South Wales,2021,5.7186,12368.6858
14,1GSYD,Greater Sydney,New South Wales,2022,1.9228,12368.6858
15,1GSYD,Greater Sydney,New South Wales,2023,2.3731,12368.6858
16,1GSYD,Greater Sydney,New South Wales,2024,1.9321,12368.6858
17,1GSYD,Greater Sydney,New South Wales,2025,1.2307,12368.6858
18,1GSYD,Greater Sydney,New South Wales,2026,3.6477,12368.6858
19,1GSYD,Greater Sydney,New South Wales,2027,1.3761,12368.6858
20,1GSYD,Greater Sydney,New South Wales,2028,0.7929,12368.6858
21,1GSYD,Greater Sydney,New South Wales,2029,2.5286,12368.6858
22,1GSYD,Greater Sydney,New South Wales,2030,4.6636,12368.6858
23,1GSYD,Greater Sydney,New South Wales,2031,6.094,12368.6858
24,1GSYD,Greater Sydney,New South Wales,2032,2.475,12368.6858
25,1GSYD,Greater Sydney,New South Wales,2033,2.6691,12368.6858
26,1GSYD,Greater Sydney,New South Wales,2034,3.0497,12368.6858
27,1GSYD,Greater Sydney,New South Wales,2035,8.1207,12368.6858
28,1GSYD,Greater Sydney,New South Wales,2036,15.7131,12368.6858
29,1GSYD,Greater Sydney,New South Wales,2037,2.1374,12368.6858
30,1GSYD,Greater Sydney,New South Wales,2038,1.4931,12368.6858
31,1GSYD,Greater Sydney,New South Wales,2039,1.8337,12368.6858
32,1GSYD,Greater Sydney,New South Wales,2040,4.754,12368.6858
33,1GSYD,Greater Sydney,New South Wales,2041,2.4666,12368.6858
34,1GSYD,Greater Sydney,New South Wales,2042,2.0446,12368.6858
35,1GSYD,Greater Sydney,New South Wales,2043,0.8075,12368.6858
36,1GSYD,Greater Sydney,New South Wales,2044,3.8539,12368.6858
37,1GSYD,Greater Sydney,New South Wales,2045,2.3828,12368.6858
38,1GSYD,Greater Sydney,New South Wales,2046,6.0148,12368.6858
39,1GSYD,Greater Sydney,New South Wales,2047,2.3101,12368.6858
40,1GSYD,Greater Sydney,New South Wales,2048,1.218,12368.6858
41,1GSYD,Greater Sydney,New South Wales,2049,1.929,12368.6858
42,1GSYD,Greater Sydney,New South Wales,2050,1.5031,12368.6858
43,1GSYD,Greater Sydney,New South Wales,2060,2.6912,12368.6858
44,1GSYD,Greater Sydney,New South Wales,2061,0.6316,12368.6858
45,1GSYD,Greater Sydney,New South Wales,2062,1.5527,12368.6858
46,1GSYD,Greater Sydney,New South Wales,2063,2.7281,12368.6858
47,1GSYD,Greater Sydney,New South Wales,2064,2.5348,12368.6858
48,1GSYD,Greater Sydney,New South Wales,2065,5.6781,12368.6858
49,1GSYD,Greater Sydney,New South Wales,2066,9.5786,12368.6858
50,1GSYD,Greater Sydney,New South Wales,2067,5.8196,12368.6858
51,1GSYD,Greater Sydney,New South Wales,2068,5.6655,12368.6858
52,1GSYD,Greater Sydney,New South Wales,2069,7.5302,12368.6858
53,1GSYD,Greater Sydney,New South Wales,2070,7.4617,12368.6858
54,1GSYD,Greater Sydney,New South Wales,2071,7.8221,12368.6858
55,1GSYD,Greater Sydney,New South Wales,2072,3.7885,12368.6858
56,1GSYD,Greater Sydney,New South Wales,2073,10.2515,12368.6858
57,1GSYD,Greater Sydney,New South Wales,2074,22.0151,12368.6858
58,1GSYD,Greater Sydney,New South Wales,2075,17.7425,12368.6858
59,1GSYD,Greater Sydney,New South Wales,2076,15.8484,12368.6858
60,1GSYD,Greater Sydney,New South Wales,2077,22.8664,12368.6858
61,1GSYD,Greater Sydney,New South Wales,2079,11.0623,12368.6858
62,1GSYD,Greater Sydney,New South Wales,2080,10.5767,12368.6858
63,1GSYD,Greater Sydney,New South Wales,2081,40.1939,12368.6858
64,1GSYD,Greater Sydney,New South Wales,2082,9.6876,12368.6858
65,1GSYD,Greater Sydney,New South Wales,2083,45.774,12368.6858
66,1GSYD,Greater Sydney,New South Wales,2084,107.3731,12368.6858
67,1GSYD,Greater Sydney,New South Wales,2085,16.0513,12368.6858
68,1GSYD,Greater Sydney,New South Wales,2086,8.0742,12368.6858
69,1GSYD,Greater Sydney,New South Wales,2087,8.9311,12368.6858
70,1GSYD,Greater Sydney,New South Wales,2088,8.6503,12368.6858
71,1GSYD,Greater Sydney,New South Wales,2089,1.5036,12368.6858
72,1GSYD,Greater Sydney,New South Wales,2090,2.0654,12368.6858
73,1GSYD,Greater Sydney,New South Wales,2092,3.1079,12368.6858
74,1GSYD,Greater Sydney,New South Wales,2093,7.529,12368.6858
75,1GSYD,Greater Sydney,New South Wales,2094,1.1683,12368.6858
76,1GSYD,Greater Sydney,New South Wales,2095,5.5668,12368.6858
77,1GSYD,Greater Sydney,New South Wales,2096,3.4532,12368.6858
78,1GSYD,Greater Sydney,New South Wales,2097,4.7508,12368.6858
79,1GSYD,Greater Sydney,New South Wales,2099,18.7149,12368.6858
80,1GSYD,Greater Sydney,New South Wales,2100,13.4698,12368.6858
81,1GSYD,Greater Sydney,New South Wales,2101,26.6694,12368.6858
82,1GSYD,Greater Sydney,New South Wales,2102,4.136,12368.6858
83,1GSYD,Greater Sydney,New South Wales,2103,4.6646,12368.6858
84,1GSYD,Greater Sydney,New South Wales,2104,3.7163,12368.6858
85,1GSYD,Greater Sydney,New South Wales,2105,2.1888,12368.6858
86,1GSYD,Greater Sydney,New South Wales,2106,3.8119,12368.6858
87,1GSYD,Greater Sydney,New South Wales,2107,7.8756,12368.6858
88,1GSYD,Greater Sydney,New South Wales,2108,2.9542,12368.6858
89,1GSYD,Greater Sydney,New South Wales,2110,4.3304,12368.6858
90,1GSYD,Greater Sydney,New South Wales,2111,4.7162,12368.6858
91,1GSYD,Greater Sydney,New South Wales,2112,9.3018,12368.6858
92,1GSYD,Greater Sydney,New South Wales,2113,13.2159,12368.6858
93,1GSYD,Greater Sydney,New South Wales,2114,7.3639,12368.6858
94,1GSYD,Greater Sydney,New South Wales,2115,3.9347,12368.6858
95,1GSYD,Greater Sydney,New South Wales,2116,3.7975,12368.6858
96,1GSYD,Greater Sydney,New South Wales,2117,7.1268,12368.6858
97,1GSYD,Greater Sydney,New South Wales,2118,8.5068,12368.6858
98,1GSYD,Greater Sydney,New South Wales,2119,6.7407,12368.6858
99,1GSYD,Greater Sydney,New South Wales,2120,13.8137,12368.6858
100,1GSYD,Greater Sydney,New South Wales,2121,9.2015,12368.6858
101,1GSYD,Greater Sydney,New South Wales,2122,9.0576,12368.6858
102,1GSYD,Greater Sydney,New South Wales,2125,9.2916,12368.6858
103,1GSYD,Greater Sydney,New South Wales,2126,8.2603,12368.6858
104,1GSYD,Greater Sydney,New South Wales,2127,8.1408,12368.6858
105,1GSYD,Greater Sydney,New South Wales,2128,2.7,12368.6858
106,1GSYD,Greater Sydney,New South Wales,2130,1.2031,12368.6858
107,1GSYD,Greater Sydney,New South Wales,2131,3.4144,12368.6858
108,1GSYD,Greater Sydney,New South Wales,2132,2.4354,12368.6858
109,1GSYD,Greater Sydney,New South Wales,2133,2.5503,12368.6858
110,1GSYD,Greater Sydney,New South Wales,2134,2.4456,12368.6858
111,1GSYD,Greater Sydney,New South Wales,2135,6.5375,12368.6858
112,1GSYD,Greater Sydney,New South Wales,2136,3.4638,12368.6858
113,1GSYD,Greater Sydney,New South Wales,2137,7.3557,12368.6858
114,1GSYD,Greater Sydney,New South Wales,2138,3.7811,12368.6858
115,1GSYD,Greater Sydney,New South Wales,2140,3.7487,12368.6858
116,1GSYD,Greater Sydney,New South Wales,2141,11.9359,12368.6858
117,1GSYD,Greater Sydney,New South Wales,2142,10.9833,12368.6858
118,1GSYD,Greater Sydney,New South Wales,2143,4.3104,12368.6858
119,1GSYD,Greater Sydney,New South Wales,2144,8.5637,12368.6858
120,1GSYD,Greater Sydney,New South Wales,2145,27.5671,12368.6858
121,1GSYD,Greater Sydney,New South Wales,2146,6.0077,12368.6858
122,1GSYD,Greater Sydney,New South Wales,2147,15.9973,12368.6858
123,1GSYD,Greater Sydney,New South Wales,2148,37.6817,12368.6858
124,1GSYD,Greater Sydney,New South Wales,2150,5.8687,12368.6858
125,1GSYD,Greater Sydney,New South Wales,2151,10.7334,12368.6858
126,1GSYD,Greater Sydney,New South Wales,2152,4.2857,12368.6858
127,1GSYD,Greater Sydney,New South Wales,2153,25.5852,12368.6858
128,1GSYD,Greater Sydney,New South Wales,2154,18.8102,12368.6858
129,1GSYD,Greater Sydney,New South Wales,2155,36.388,12368.6858
130,1GSYD,Greater Sydney,New South Wales,2156,62.9548,12368.6858
131,1GSYD,Greater Sydney,New South Wales,2157,148.4858,12368.6858
132,1GSYD,Greater Sydney,New South Wales,2158,41.7948,12368.6858
133,1GSYD,Greater Sydney,New South Wales,2159,127.4464,12368.6858
134,1GSYD,Greater Sydney,New South Wales,2160,8.4346,12368.6858
135,1GSYD,Greater Sydney,New South Wales,2161,11.2122,12368.6858
136,1GSYD,Greater Sydney,New South Wales,2162,5.7908,12368.6858
137,1GSYD,Greater Sydney,New South Wales,2163,6.3533,12368.6858
138,1GSYD,Greater Sydney,New South Wales,2164,20.5159,12368.6858
139,1GSYD,Greater Sydney,New South Wales,2165,11.12,12368.6858
140,1GSYD,Greater Sydney,New South Wales,2166,15.2543,12368.6858
141,1GSYD,Greater Sydney,New South Wales,2167,6.9946,12368.6858
142,1GSYD,Greater Sydney,New South Wales,2168,12.8684,12368.6858
143,1GSYD,Greater Sydney,New South Wales,2170,54.319,12368.6858
144,1GSYD,Greater Sydney,New South Wales,2171,21.5331,12368.6858
145,1GSYD,Greater Sydney,New South Wales,2172,3.6787,12368.6858
146,1GSYD,Greater Sydney,New South Wales,2173,192.8683,12368.6858
147,1GSYD,Greater Sydney,New South Wales,2174,6.0563,12368.6858
148,1GSYD,Greater Sydney,New South Wales,2175,21.9683,12368.6858
149,1GSYD,Greater Sydney,New South Wales,2176,19.8468,12368.6858
150,1GSYD,Greater Sydney,New South Wales,2177,5.1959,12368.6858
151,1GSYD,Greater Sydney,New South Wales,2178,54.3241,12368.6858
152,1GSYD,Greater Sydney,New South Wales,2179,36.53,12368.6858
153,1GSYD,Greater Sydney,New South Wales,2190,9.7772,12368.6858
154,1GSYD,Greater Sydney,New South Wales,2191,1.7826,12368.6858
155,1GSYD,Greater Sydney,New South Wales,2192,2.731,12368.6858
156,1GSYD,Greater Sydney,New South Wales,2193,4.1963,12368.6858
157,1GSYD,Greater Sydney,New South Wales,2194,3.3734,12368.6858
158,1GSYD,Greater Sydney,New South Wales,2195,3.5488,12368.6858
159,1GSYD,Greater Sydney,New South Wales,2196,7.0679,12368.6858
160,1GSYD,Greater Sydney,New South Wales,2197,2.9286,12368.6858
161,1GSYD,Greater Sydney,New South Wales,2198,3.3233,12368.6858
162,1GSYD,Greater Sydney,New South Wales,2199,4.6181,12368.6858
163,1GSYD,Greater Sydney,New South Wales,2200,13.9792,12368.6858
164,1GSYD,Greater Sydney,New South Wales,2203,2.0929,12368.6858
165,1GSYD,Greater Sydney,New South Wales,2204,5.7904,12368.6858
166,1GSYD,Greater Sydney,New South Wales,2205,4.244,12368.6858
167,1GSYD,Greater Sydney,New South Wales,2206,5.9786,12368.6858
168,1GSYD,Greater Sydney,New South Wales,2207,7.1852,12368.6858
169,1GSYD,Greater Sydney,New South Wales,2208,4.459,12368.6858
170,1GSYD,Greater Sydney,New South Wales,2209,4.2502,12368.6858
171,1GSYD,Greater Sydney,New South Wales,2210,11.0963,12368.6858
172,1GSYD,Greater Sydney,New South Wales,2211,7.3323,12368.6858
173,1GSYD,Greater Sydney,New South Wales,2212,6.4088,12368.6858
174,1GSYD,Greater Sydney,New South Wales,2213,10.0369,12368.6858
175,1GSYD,Greater Sydney,New South Wales,2214,5.3711,12368.6858
176,1GSYD,Greater Sydney,New South Wales,2216,5.5962,12368.6858
177,1GSYD,Greater Sydney,New South Wales,2217,6.2487,12368.6858
178,1GSYD,Greater Sydney,New South Wales,2218,2.6615,12368.6858
179,1GSYD,Greater Sydney,New South Wales,2219,3.7807,12368.6858
180,1GSYD,Greater Sydney,New South Wales,2220,5.144,12368.6858
181,1GSYD,Greater Sydney,New South Wales,2221,5.3796,12368.6858
182,1GSYD,Greater Sydney,New South Wales,2222,2.5457,12368.6858
183,1GSYD,Greater Sydney,New South Wales,2223,7.253,12368.6858
184,1GSYD,Greater Sydney,New South Wales,2224,4.6882,12368.6858
185,1GSYD,Greater Sydney,New South Wales,2225,2.1022,12368.6858
186,1GSYD,Greater Sydney,New South Wales,2226,5.2222,12368.6858
187,1GSYD,Greater Sydney,New South Wales,2227,4.5976,12368.6858
188,1GSYD,Greater Sydney,New South Wales,2228,5.9464,12368.6858
189,1GSYD,Greater Sydney,New South Wales,2229,10.7805,12368.6858
190,1GSYD,Greater Sydney,New South Wales,2230,9.0449,12368.6858
191,1GSYD,Greater Sydney,New South Wales,2231,19.3454,12368.6858
192,1GSYD,Greater Sydney,New South Wales,2232,153.5693,12368.6858
193,1GSYD,Greater Sydney,New South Wales,2233,40.831,12368.6858
194,1GSYD,Greater Sydney,New South Wales,2234,39.7248,12368.6858
195,1GSYD,Greater Sydney,New South Wales,2250,691.6342,12368.6858
196,1GSYD,Greater Sydney,New South Wales,2251,43.5444,12368.6858
197,1GSYD,Greater Sydney,New South Wales,2256,72.7648,12368.6858
198,1GSYD,Greater Sydney,New South Wales,2257,29.3795,12368.6858
199,1GSYD,Greater Sydney,New South Wales,2258,121.2568,12368.6858
200,1GSYD,Greater Sydney,New South Wales,2259,524.7348,12368.6858
201,1GSYD,Greater Sydney,New South Wales,2260,23.6207,12368.6858
202,1GSYD,Greater Sydney,New South Wales,2261,51.4591,12368.6858
203,1GSYD,Greater Sydney,New South Wales,2262,33.7717,12368.6858
204,1GSYD,Greater Sydney,New South Wales,2263,22.3942,12368.6858
205,1GSYD,Greater Sydney,New South Wales,2264,115.1942,12368.6858
206,1GSYD,Greater Sydney,New South Wales,2265,136.0018,12368.6858
207,1GSYD,Greater Sydney,New South Wales,2325,1605.0648,12368.6858
208,1GSYD,Greater Sydney,New South Wales,2330,4730.8949,12368.6858
209,1GSYD,Greater Sydney,New South Wales,2508,162.241,12368.6858
210,1GSYD,Greater Sydney,New South Wales,2555,26.981,12368.6858
211,1GSYD,Greater Sydney,New South Wales,2556,40.2134,12368.6858
212,1GSYD,Greater Sydney,New South Wales,2557,37.1205,12368.6858
213,1GSYD,Greater Sydney,New South Wales,2558,7.6039,12368.6858
214,1GSYD,Greater Sydney,New South Wales,2559,4.3495,12368.6858
215,1GSYD,Greater Sydney,New South Wales,2560,411.3136,12368.6858
216,1GSYD,Greater Sydney,New South Wales,2563,11.5603,12368.6858
217,1GSYD,Greater Sydney,New South Wales,2564,9.0236,12368.6858
218,1GSYD,Greater Sydney,New South Wales,2565,29.7009,12368.6858
219,1GSYD,Greater Sydney,New South Wales,2566,28.3019,12368.6858
220,1GSYD,Greater Sydney,New South Wales,2567,31.1557,12368.6858
221,1GSYD,Greater Sydney,New South Wales,2568,34.0936,12368.6858
222,1GSYD,Greater Sydney,New South Wales,2569,26.7707,12368.6858
223,1GSYD,Greater Sydney,New South Wales,2570,469.0775,12368.6858
224,1GSYD,Greater Sydney,New South Wales,2571,250.2842,12368.6858
225,1GSYD,Greater Sydney,New South Wales,2572,106.1734,12368.6858
226,1GSYD,Greater Sydney,New South Wales,2573,16.9784,12368.6858
227,1GSYD,Greater Sydney,New South Wales,2574,350.23,12368.6858
228,1GSYD,Greater Sydney,New South Wales,2575,981.4743,12368.6858
229,1GSYD,Greater Sydney,New South Wales,2580,5512.6655,12368.6858
230,1GSYD,Greater Sydney,New South Wales,2745,168.7608,12368.6858
231,1GSYD,Greater Sydney,New South Wales,2747,55.0667,12368.6858
232,1GSYD,Greater Sydney,New South Wales,2748,43.0734,12368.6858
233,1GSYD,Greater Sydney,New South Wales,2749,47.0936,12368.6858
234,1GSYD,Greater Sydney,New South Wales,2750,35.3705,12368.6858
235,1GSYD,Greater Sydney,New South Wales,2752,53.5688,12368.6858
236,1GSYD,Greater Sydney,New South Wales,2753,169.4419,12368.6858
237,1GSYD,Greater Sydney,New South Wales,2754,34.3251,12368.6858
238,1GSYD,Greater Sydney,New South Wales,2756,1486.8709,12368.6858
239,1GSYD,Greater Sydney,New South Wales,2757,8.3269,12368.6858
240,1GSYD,Greater Sydney,New South Wales,2758,572.1443,12368.6858
241,1GSYD,Greater Sydney,New South Wales,2759,15.5979,12368.6858
242,1GSYD,Greater Sydney,New South Wales,2760,19.9308,12368.6858
243,1GSYD,Greater Sydney,New South Wales,2761,14.7648,12368.6858
244,1GSYD,Greater Sydney,New South Wales,2762,12.5171,12368.6858
245,1GSYD,Greater Sydney,New South Wales,2763,13.0157,12368.6858
246,1GSYD,Greater Sydney,New South Wales,2765,127.5271,12368.6858
247,1GSYD,Greater Sydney,New South Wales,2766,27.2383,12368.6858
248,1GSYD,Greater Sydney,New South Wales,2767,10.1088,12368.6858
249,1GSYD,Greater Sydney,New South Wales,2768,9.0194,12368.6858
250,1GSYD,Greater Sydney,New South Wales,2769,4.6534,12368.6858
251,1GSYD,Greater Sydney,New South Wales,2770,24.7303,12368.6858
252,1GSYD,Greater Sydney,New South Wales,2773,8.3936,12368.6858
253,1GSYD,Greater Sydney,New South Wales,2774,21.2999,12368.6858
254,1GSYD,Greater Sydney,New South Wales,2775,833.1402,12368.6858
255,1GSYD,Greater Sydney,New South Wales,2776,14.932,12368.6858
256,1GSYD,Greater Sydney,New South Wales,2777,54.7327,12368.6858
257,1GSYD,Greater Sydney,New South Wales,2778,20.9602,12368.6858
258,1GSYD,Greater Sydney,New South Wales,2779,12.4995,12368.6858
259,1GSYD,Greater Sydney,New South Wales,2780,38.4603,12368.6858
260,1GSYD,Greater Sydney,New South Wales,2782,21.0358,12368.6858
261,1GSYD,Greater Sydney,New South Wales,2783,7.2887,12368.6858
262,1GSYD,Greater Sydney,New South Wales,2784,6.1389,12368.6858
263,1GSYD,Greater Sydney,New South Wales,2785,128.6447,12368.6858
264,1GSYD,Greater Sydney,New South Wales,2786,84.7603,12368.6858
265,1GSYD,Greater Sydney,New South Wales,2787,4632.7818,12368.6858
266,1GSYD,Greater Sydney,New South Wales,2790,2481.3231,12368.6858
267,1GSYD,Greater Sydney,New South Wales,2849,2801.0405,12368.6858
268,1RNSW,Rest of NSW,New South Wales,2173,192.8683,788428.9733
269,1RNSW,Rest of NSW,New South Wales,2232,153.5693,788428.9733
270,1RNSW,Rest of NSW,New South Wales,2233,40.831,788428.9733
271,1RNSW,Rest of NSW,New South Wales,2250,691.6342,788428.9733
272,1RNSW,Rest of NSW,New South Wales,2259,524.7348,788428.9733
273,1RNSW,Rest of NSW,New South Wales,2262,33.7717,788428.9733
274,1RNSW,Rest of NSW,New South Wales,2264,115.1942,788428.9733
275,1RNSW,Rest of NSW,New South Wales,2265,136.0018,788428.9733
276,1RNSW,Rest of NSW,New South Wales,2267,3.6556,788428.9733
277,1RNSW,Rest of NSW,New South Wales,2278,45.0568,788428.9733
278,1RNSW,Rest of NSW,New South Wales,2280,27.927,788428.9733
279,1RNSW,Rest of NSW,New South Wales,2281,30.9078,788428.9733
280,1RNSW,Rest of NSW,New South Wales,2282,11.2261,788428.9733
281,1RNSW,Rest of NSW,New South Wales,2283,59.2496,788428.9733
282,1RNSW,Rest of NSW,New South Wales,2284,24.2726,788428.9733
283,1RNSW,Rest of NSW,New South Wales,2285,32.3918,788428.9733
284,1RNSW,Rest of NSW,New South Wales,2286,25.2353,788428.9733
285,1RNSW,Rest of NSW,New South Wales,2287,38.0741,788428.9733
286,1RNSW,Rest of NSW,New South Wales,2289,11.413,788428.9733
287,1RNSW,Rest of NSW,New South Wales,2290,35.6998,788428.9733
288,1RNSW,Rest of NSW,New South Wales,2291,7.1942,788428.9733
289,1RNSW,Rest of NSW,New South Wales,2292,2.873,788428.9733
290,1RNSW,Rest of NSW,New South Wales,2293,1.326,788428.9733
291,1RNSW,Rest of NSW,New South Wales,2294,2.0392,788428.9733
292,1RNSW,Rest of NSW,New South Wales,2295,11.9768,788428.9733
293,1RNSW,Rest of NSW,New South Wales,2296,0.7062,788428.9733
294,1RNSW,Rest of NSW,New South Wales,2297,0.801,788428.9733
295,1RNSW,Rest of NSW,New South Wales,2298,4.0311,788428.9733
296,1RNSW,Rest of NSW,New South Wales,2299,5.2319,788428.9733
297,1RNSW,Rest of NSW,New South Wales,2300,3.4557,788428.9733
298,1RNSW,Rest of NSW,New South Wales,2302,0.8095,788428.9733
299,1RNSW,Rest of NSW,New South Wales,2303,3.0401,788428.9733
300,1RNSW,Rest of NSW,New South Wales,2304,39.3891,788428.9733
301,1RNSW,Rest of NSW,New South Wales,2305,8.894,788428.9733
302,1RNSW,Rest of NSW,New South Wales,2306,1.777,788428.9733
303,1RNSW,Rest of NSW,New South Wales,2307,6.5582,788428.9733
304,1RNSW,Rest of NSW,New South Wales,2308,1.7907,788428.9733
305,1RNSW,Rest of NSW,New South Wales,2311,783.5898,788428.9733
306,1RNSW,Rest of NSW,New South Wales,2312,181.2071,788428.9733
307,1RNSW,Rest of NSW,New South Wales,2315,32.3446,788428.9733
308,1RNSW,Rest of NSW,New South Wales,2316,73.9271,788428.9733
309,1RNSW,Rest of NSW,New South Wales,2317,9.734,788428.9733
310,1RNSW,Rest of NSW,New South Wales,2318,259.5244,788428.9733
311,1RNSW,Rest of NSW,New South Wales,2319,29.6406,788428.9733
312,1RNSW,Rest of NSW,New South Wales,2320,403.8742,788428.9733
313,1RNSW,Rest of NSW,New South Wales,2321,361.6288,788428.9733
314,1RNSW,Rest of NSW,New South Wales,2322,168.2091,788428.9733
315,1RNSW,Rest of NSW,New South Wales,2323,207.9467,788428.9733
316,1RNSW,Rest of NSW,New South Wales,2324,627.1611,788428.9733
317,1RNSW,Rest of NSW,New South Wales,2325,1605.0648,788428.9733
318,1RNSW,Rest of NSW,New South Wales,2326,80.9068,788428.9733
319,1RNSW,Rest of NSW,New South Wales,2327,15.0694,788428.9733
320,1RNSW,Rest of NSW,New South Wales,2328,1634.8508,788428.9733
321,1RNSW,Rest of NSW,New South Wales,2329,3056.2045,788428.9733
322,1RNSW,Rest of NSW,New South Wales,2330,4730.8949,788428.9733
323,1RNSW,Rest of NSW,New South Wales,2331,137.2978,788428.9733
324,1RNSW,Rest of NSW,New South Wales,2333,1691.3907,788428.9733
325,1RNSW,Rest of NSW,New South Wales,2334,20.7073,788428.9733
326,1RNSW,Rest of NSW,New South Wales,2335,268.4372,788428.9733
327,1RNSW,Rest of NSW,New South Wales,2336,888.9717,788428.9733
328,1RNSW,Rest of NSW,New South Wales,2337,3331.7268,788428.9733
329,1RNSW,Rest of NSW,New South Wales,2338,989.4776,788428.9733
330,1RNSW,Rest of NSW,New South Wales,2339,1120.8458,788428.9733
331,1RNSW,Rest of NSW,New South Wales,2340,3352.9983,788428.9733
332,1RNSW,Rest of NSW,New South Wales,2341,227.9108,788428.9733
333,1RNSW,Rest of NSW,New South Wales,2342,561.0816,788428.9733
334,1RNSW,Rest of NSW,New South Wales,2343,3352.8926,788428.9733
335,1RNSW,Rest of NSW,New South Wales,2344,339.1674,788428.9733
336,1RNSW,Rest of NSW,New South Wales,2345,291.7831,788428.9733
337,1RNSW,Rest of NSW,New South Wales,2346,1967.8028,788428.9733
338,1RNSW,Rest of NSW,New South Wales,2347,3035.4851,788428.9733
339,1RNSW,Rest of NSW,New South Wales,2350,4543.2274,788428.9733
340,1RNSW,Rest of NSW,New South Wales,2352,434.2708,788428.9733
341,1RNSW,Rest of NSW,New South Wales,2353,198.8995,788428.9733
342,1RNSW,Rest of NSW,New South Wales,2354,7142.1491,788428.9733
343,1RNSW,Rest of NSW,New South Wales,2355,918.5516,788428.9733
344,1RNSW,Rest of NSW,New South Wales,2356,542.7306,788428.9733
345,1RNSW,Rest of NSW,New South Wales,2357,3305.5418,788428.9733
346,1RNSW,Rest of NSW,New South Wales,2358,1905.5433,788428.9733
347,1RNSW,Rest of NSW,New South Wales,2359,1294.1139,788428.9733
348,1RNSW,Rest of NSW,New South Wales,2360,3385.2978,788428.9733
349,1RNSW,Rest of NSW,New South Wales,2361,1963.1502,788428.9733
350,1RNSW,Rest of NSW,New South Wales,2365,3804.6687,788428.9733
351,1RNSW,Rest of NSW,New South Wales,2369,347.5058,788428.9733
352,1RNSW,Rest of NSW,New South Wales,2370,4769.4223,788428.9733
353,1RNSW,Rest of NSW,New South Wales,2371,1900.6028,788428.9733
354,1RNSW,Rest of NSW,New South Wales,2372,4894.7861,788428.9733
355,1RNSW,Rest of NSW,New South Wales,2379,1114.41,788428.9733
356,1RNSW,Rest of NSW,New South Wales,2380,2089.1897,788428.9733
357,1RNSW,Rest of NSW,New South Wales,2381,2052.3174,788428.9733
358,1RNSW,Rest of NSW,New South Wales,2382,1826.3389,788428.9733
359,1RNSW,Rest of NSW,New South Wales,2386,1979.4029,788428.9733
360,1RNSW,Rest of NSW,New South Wales,2387,1388.5196,788428.9733
361,1RNSW,Rest of NSW,New South Wales,2388,6699.0871,788428.9733
362,1RNSW,Rest of NSW,New South Wales,2390,4217.1072,788428.9733
363,1RNSW,Rest of NSW,New South Wales,2395,1113.5695,788428.9733
364,1RNSW,Rest of NSW,New South Wales,2396,1826.7503,788428.9733
365,1RNSW,Rest of NSW,New South Wales,2397,1694.9079,788428.9733
366,1RNSW,Rest of NSW,New South Wales,2398,953.5519,788428.9733
367,1RNSW,Rest of NSW,New South Wales,2399,806.3754,788428.9733
