Lga Name21,Lga Code21,Ste Name21,Gcc Name21,STE NAME21 (GCCSA 2021 AUST GDA2020.shp),Index
MacDonnell,72330,Northern Territory,Rest of Qld,Queensland,362
MacDonnell,72330,Northern Territory,Rest of SA,South Australia,363
MacDonnell,72330,Northern Territory,Rest of WA,Western Australia,364
Macedon Ranges,24130,Victoria,Greater Melbourne,Victoria,365
Macedon Ranges,24130,Victoria,Rest of Vic.,Victoria,366
Mackay,34770,Queensland,Rest of Qld,Queensland,367
Maitland,15050,New South Wales,Rest of NSW,New South Wales,368
Mandurah,55110,Western Australia,Greater Perth,Western Australia,369
Mandurah,55110,Western Australia,Rest of WA,Western Australia,370
Manjimup,55180,Western Australia,Rest of WA,Western Australia,371
Manningham,24210,Victoria,Greater Melbourne,Victoria,372
Mansfield,24250,Victoria,Rest of Vic.,Victoria,373
Mapoon,34830,Queensland,Rest of Qld,Queensland,374
Maralinga Tjarutja,44000,South Australia,Rest of SA,South Australia,375
Maralinga Tjarutja,44000,South Australia,Rest of WA,Western Australia,376
Maranoa,34860,Queensland,Rest of Qld,Queensland,377
Mareeba,34880,Queensland,Rest of Qld,Queensland,378
Maribyrnong,24330,Victoria,Greater Melbourne,Victoria,379
Marion,44060,South Australia,Greater Adelaide,South Australia,380
Maroondah,24410,Victoria,Greater Melbourne,Victoria,381
McKinlay,34800,Queensland,Rest of Qld,Queensland,382
Meander Valley,64210,Tasmania,Rest of Tas.,Tasmania,383
Meekatharra,55250,Western Australia,Rest of WA,Western Australia,384
Melbourne,24600,Victoria,Greater Melbourne,Victoria,385
Melton,24650,Victoria,Greater Melbourne,Victoria,386
Melton,24650,Victoria,Rest of Vic.,Victoria,387
Melville,55320,Western Australia,Greater Perth,Western Australia,388
Menzies,55390,Western Australia,Rest of SA,South Australia,389
Menzies,55390,Western Australia,Rest of WA,Western Australia,390
Merredin,55460,Western Australia,Rest of WA,Western Australia,391
Mid Murray,44210,South Australia,Greater Adelaide,South Australia,392
Mid Murray,44210,South Australia,Rest of SA,South Australia,393
Mid-Coast,15240,New South Wales,Rest of NSW,New South Wales,394
Mid-Western Regional,15270,New South Wales,Rest of NSW,New South Wales,395
Mildura,24780,Victoria,Rest of NSW,New South Wales,396
Mildura,24780,Victoria,Rest of SA,South Australia,397
Mildura,24780,Victoria,Rest of Vic.,Victoria,398
Mingenew,55530,Western Australia,Rest of WA,Western Australia,399
Mitcham,44340,South Australia,Greater Adelaide,South Australia,400
Mitchell,24850,Victoria,Greater Melbourne,Victoria,401
Mitchell,24850,Victoria,Rest of Vic.,Victoria,402
Moira,24900,Victoria,Rest of NSW,New South Wales,403
Moira,24900,Victoria,Rest of Vic.,Victoria,404
Monash,24970,Victoria,Greater Melbourne,Victoria,405
Moonee Valley,25060,Victoria,Greater Melbourne,Victoria,406
Moora,55600,Western Australia,Rest of WA,Western Australia,407
Moorabool,25150,Victoria,Greater Melbourne,Victoria,408
Moorabool,25150,Victoria,Rest of Vic.,Victoria,409
Morawa,55670,Western Australia,Rest of WA,Western Australia,410
Moree Plains,15300,New South Wales,Rest of NSW,New South Wales,411
Moree Plains,15300,New South Wales,Rest of Qld,Queensland,412
Moreland,25250,Victoria,Greater Melbourne,Victoria,413
Moreton Bay,35010,Queensland,Greater Brisbane,Queensland,414
Moreton Bay,35010,Queensland,Rest of Qld,Queensland,415
Mornington,35250,Queensland,Rest of Qld,Queensland,416
Mornington Peninsula,25340,Victoria,Greater Melbourne,Victoria,417
Mosman,15350,New South Wales,Greater Sydney,New South Wales,418
Mosman Park,55740,Western Australia,Greater Perth,Western Australia,419
Mount Alexander,25430,Victoria,Rest of Vic.,Victoria,420
Mount Barker,44550,South Australia,Greater Adelaide,South Australia,421
Mount Barker,44550,South Australia,Rest of SA,South Australia,422
Mount Gambier,44620,South Australia,Rest of SA,South Australia,423
Mount Isa,35300,Queensland,Rest of NT,Northern Territory,424
Mount Isa,35300,Queensland,Rest of Qld,Queensland,425
Mount Magnet,55810,Western Australia,Rest of WA,Western Australia,426
Mount Marshall,55880,Western Australia,Rest of WA,Western Australia,427
Mount Remarkable,44830,South Australia,Rest of SA,South Australia,428
Moyne,25490,Victoria,Rest of Vic.,Victoria,429
Mukinbudin,55950,Western Australia,Rest of WA,Western Australia,430
Mundaring,56090,Western Australia,Greater Perth,Western Australia,431
Mundaring,56090,Western Australia,Rest of WA,Western Australia,432
Murchison,56160,Western Australia,Rest of WA,Western Australia,433
Murray,56230,Western Australia,Greater Perth,Western Australia,434
Murray,56230,Western Australia,Rest of WA,Western Australia,435
Murray Bridge,45040,South Australia,Greater Adelaide,South Australia,436
Murray Bridge,45040,South Australia,Rest of SA,South Australia,437
Murray River,15520,New South Wales,Rest of NSW,New South Wales,438
Murray River,15520,New South Wales,Rest of Vic.,Victoria,439
Murrindindi,25620,Victoria,Greater Melbourne,Victoria,440
Murrindindi,25620,Victoria,Rest of Vic.,Victoria,441
Murrumbidgee,15560,New South Wales,Rest of NSW,New South Wales,442
Murweh,35600,Queensland,Rest of Qld,Queensland,443
Muswellbrook,15650,New South Wales,Rest of NSW,New South Wales,444
Nambucca Valley,15700,New South Wales,Rest of NSW,New South Wales,445
Nannup,56300,Western Australia,Rest of WA,Western Australia,446
Napranum,35670,Queensland,Rest of Qld,Queensland,447
Naracoorte Lucindale,45090,South Australia,Rest of SA,South Australia,448
Naracoorte Lucindale,45090,South Australia,Rest of Vic.,Victoria,449
Narembeen,56370,Western Australia,Rest of WA,Western Australia,450
Narrabri,15750,New South Wales,Rest of NSW,New South Wales,451
Narrandera,15800,New South Wales,Rest of NSW,New South Wales,452
Narrogin,56460,Western Australia,Rest of WA,Western Australia,453
Narromine,15850,New South Wales,Rest of NSW,New South Wales,454
Nedlands,56580,Western Australia,Greater Perth,Western Australia,455
Newcastle,15900,New South Wales,Rest of NSW,New South Wales,456
Ngaanyatjarraku,56620,Western Australia,Rest of NT,Northern Territory,457
Ngaanyatjarraku,56620,Western Australia,Rest of SA,South Australia,458
Ngaanyatjarraku,56620,Western Australia,Rest of WA,Western Australia,459
Nillumbik,25710,Victoria,Greater Melbourne,Victoria,460
Noosa,35740,Queensland,Rest of Qld,Queensland,461
North Burnett,35760,Queensland,Rest of Qld,Queensland,462
North Sydney,15950,New South Wales,Greater Sydney,New South Wales,463
Northam,56730,Western Australia,Greater Perth,Western Australia,464
Northam,56730,Western Australia,Rest of WA,Western Australia,465
Northampton,56790,Western Australia,Rest of WA,Western Australia,466
Northern Areas,45120,South Australia,Rest of SA,South Australia,467
Northern Beaches,15990,New South Wales,Greater Sydney,New South Wales,468
Northern Grampians,25810,Victoria,Rest of Vic.,Victoria,469
Northern Midlands,64610,Tasmania,Rest of Tas.,Tasmania,470
Northern Peninsula Area,35780,Queensland,Rest of Qld,Queensland,471
Norwood Payneham and St Peters,45290,South Australia,Greater Adelaide,South Australia,472
Nungarin,56860,Western Australia,Rest of WA,Western Australia,473
Oberon,16100,New South Wales,Greater Sydney,New South Wales,474
Oberon,16100,New South Wales,Rest of NSW,New South Wales,475
Onkaparinga,45340,South Australia,Greater Adelaide,South Australia,476
Onkaparinga,45340,South Australia,Rest of SA,South Australia,477
Orange,16150,New South Wales,Rest of NSW,New South Wales,478
Orroroo Carrieton,45400,South Australia,Rest of SA,South Australia,479
Palm Island,35790,Queensland,Rest of Qld,Queensland,480
Palmerston,72800,Northern Territory,Greater Darwin,Northern Territory,481
Parkes,16200,New South Wales,Rest of NSW,New South Wales,482
Paroo,35800,Queensland,Rest of NSW,New South Wales,483
Paroo,35800,Queensland,Rest of Qld,Queensland,484
Parramatta,16260,New South Wales,Greater Sydney,New South Wales,485
Penrith,16350,New South Wales,Greater Sydney,New South Wales,486
Peppermint Grove,56930,Western Australia,Greater Perth,Western Australia,487
Perenjori,57000,Western Australia,Rest of WA,Western Australia,488
Perth,57080,Western Australia,Greater Perth,Western Australia,489
Peterborough,45540,South Australia,Rest of SA,South Australia,490
Pingelly,57140,Western Australia,Rest of WA,Western Australia,491
Plantagenet,57210,Western Australia,Rest of WA,Western Australia,492
Playford,45680,South Australia,Greater Adelaide,South Australia,493
Playford,45680,South Australia,Rest of SA,South Australia,494
Pormpuraaw,36070,Queensland,Rest of Qld,Queensland,495
Port Adelaide Enfield,45890,South Australia,Greater Adelaide,South Australia,496
Port Augusta,46090,South Australia,Rest of SA,South Australia,497
Port Hedland,57280,Western Australia,Rest of WA,Western Australia,498
Port Lincoln,46300,South Australia,Rest of SA,South Australia,499
Port Macquarie-Hastings,16380,New South Wales,Rest of NSW,New South Wales,500
Port Phillip,25900,Victoria,Greater Melbourne,Victoria,501
Port Pirie,46450,South Australia,Rest of SA,South Australia,502
Port Stephens,16400,New South Wales,Rest of NSW,New South Wales,503
Prospect,46510,South Australia,Greater Adelaide,South Australia,504
Pyrenees,25990,Victoria,Rest of Vic.,Victoria,505
Quairading,57350,Western Australia,Rest of WA,Western Australia,506
Queanbeyan-Palerang Regional,16490,New South Wales,Australian Capital Territory,Australian Capital Territory,507
Queanbeyan-Palerang Regional,16490,New South Wales,Rest of NSW,New South Wales,508
Queenscliffe,26080,Victoria,Rest of Vic.,Victoria,509
Quilpie,36150,Queensland,Rest of Qld,Queensland,510
Randwick,16550,New South Wales,Greater Sydney,New South Wales,511
Ravensthorpe,57420,Western Australia,Rest of WA,Western Australia,512
Redland,36250,Queensland,Greater Brisbane,Queensland,513
Redland,36250,Queensland,Rest of Qld,Queensland,514
Renmark Paringa,46670,South Australia,Rest of SA,South Australia,515
Renmark Paringa,46670,South Australia,Rest of Vic.,Victoria,516
Richmond,36300,Queensland,Rest of Qld,Queensland,517
Richmond Valley,16610,New South Wales,Rest of NSW,New South Wales,518
Robe,46860,South Australia,Rest of SA,South Australia,519
Rockhampton,36370,Queensland,Rest of Qld,Queensland,520
Rockingham,57490,Western Australia,Greater Perth,Western Australia,521
Roper Gulf,73600,Northern Territory,Rest of NT,Northern Territory,522
Roper Gulf,73600,Northern Territory,Rest of Qld,Queensland,523
Roxby Downs,46970,South Australia,Rest of SA,South Australia,524
Ryde,16700,New South Wales,Greater Sydney,New South Wales,525
Salisbury,47140,South Australia,Greater Adelaide,South Australia,526
Sandstone,57630,Western Australia,Rest of WA,Western Australia,527
Scenic Rim,36510,Queensland,Greater Brisbane,Queensland,528
Scenic Rim,36510,Queensland,Rest of NSW,New South Wales,529
Scenic Rim,36510,Queensland,Rest of Qld,Queensland,530
Serpentine-Jarrahdale,57700,Western Australia,Greater Perth,Western Australia,531
Serpentine-Jarrahdale,57700,Western Australia,Rest of WA,Western Australia,532
Shark Bay,57770,Western Australia,Rest of WA,Western Australia,533
Shellharbour,16900,New South Wales,Rest of NSW,New South Wales,534
Shoalhaven,16950,New South Wales,Other Territories,Other Territories,535
Shoalhaven,16950,New South Wales,Rest of NSW,New South Wales,536
Singleton,17000,New South Wales,Greater Sydney,New South Wales,537
Singleton,17000,New South Wales,Rest of NSW,New South Wales,538
Snowy Monaro Regional,17040,New South Wales,Australian Capital Territory,Australian Capital Territory,539
Snowy Monaro Regional,17040,New South Wales,Rest of NSW,New South Wales,540
Snowy Monaro Regional,17040,New South Wales,Rest of Vic.,Victoria,541
Snowy Valleys,17080,New South Wales,Australian Capital Territory,Australian Capital Territory,542
Snowy Valleys,17080,New South Wales,Rest of NSW,New South Wales,543
Snowy Valleys,17080,New South Wales,Rest of Vic.,Victoria,544
Somerset,36580,Queensland,Greater Brisbane,Queensland,545
Somerset,36580,Queensland,Rest of Qld,Queensland,546
Sorell,64810,Tasmania,Greater Hobart,Tasmania,547
Sorell,64810,Tasmania,Rest of Tas.,Tasmania,548
South Burnett,36630,Queensland,Greater Brisbane,Queensland,549
South Burnett,36630,Queensland,Rest of Qld,Queensland,550
South Gippsland,26170,Victoria,Greater Melbourne,Victoria,551
South Gippsland,26170,Victoria,Rest of Vic.,Victoria,552
South Perth,57840,Western Australia,Greater Perth,Western Australia,553
Southern Downs,36660,Queensland,Greater Brisbane,Queensland,554
Southern Downs,36660,Queensland,Rest of NSW,New South Wales,555
Southern Downs,36660,Queensland,Rest of Qld,Queensland,556
Southern Grampians,26260,Victoria,Rest of Vic.,Victoria,557
Southern Mallee,47290,South Australia,Rest of SA,South Australia,558
Southern Mallee,47290,South Australia,Rest of Vic.,Victoria,559
Southern Midlands,65010,Tasmania,Greater Hobart,Tasmania,560
Southern Midlands,65010,Tasmania,Rest of Tas.,Tasmania,561
Stirling,57910,Western Australia,Greater Perth,Western Australia,562
Stonnington,26350,Victoria,Greater Melbourne,Victoria,563
Strathbogie,26430,Victoria,Rest of Vic.,Victoria,564
Strathfield,17100,New South Wales,Greater Sydney,New South Wales,565
Streaky Bay,47490,South Australia,Rest of SA,South Australia,566
Subiaco,57980,Western Australia,Greater Perth,Western Australia,567
Sunshine Coast,36720,Queensland,Greater Brisbane,Queensland,568
Sunshine Coast,36720,Queensland,Rest of Qld,Queensland,569
Surf Coast,26490,Victoria,Rest of Vic.,Victoria,570
Sutherland Shire,17150,New South Wales,Greater Sydney,New South Wales,571
Sutherland Shire,17150,New South Wales,Rest of NSW,New South Wales,572
Swan,58050,Western Australia,Greater Perth,Western Australia,573
Swan,58050,Western Australia,Rest of WA,Western Australia,574
Swan Hill,26610,Victoria,Rest of NSW,New South Wales,575
Swan Hill,26610,Victoria,Rest of Vic.,Victoria,576
Sydney,17200,New South Wales,Greater Sydney,New South Wales,577
Tablelands,36820,Queensland,Rest of Qld,Queensland,578
Tammin,58190,Western Australia,Rest of WA,Western Australia,579
Tamworth Regional,17310,New South Wales,Rest of NSW,New South Wales,580
Tasman,65210,Tasmania,Greater Hobart,Tasmania,581
Tasman,65210,Tasmania,Rest of Tas.,Tasmania,582
Tatiara,47630,South Australia,Rest of SA,South Australia,583
Tatiara,47630,South Australia,Rest of Vic.,Victoria,584
Tea Tree Gully,47700,South Australia,Greater Adelaide,South Australia,585
Temora,17350,New South Wales,Rest of NSW,New South Wales,586
Tenterfield,17400,New South Wales,Greater Brisbane,Queensland,587
Tenterfield,17400,New South Wales,Rest of NSW,New South Wales,588
Tenterfield,17400,New South Wales,Rest of Qld,Queensland,589
The Hills Shire,17420,New South Wales,Greater Sydney,New South Wales,590
Three Springs,58260,Western Australia,Rest of WA,Western Australia,591
Tiwi Islands,74050,Northern Territory,Rest of NT,Northern Territory,592
Toodyay,58330,Western Australia,Greater Perth,Western Australia,593
Toodyay,58330,Western Australia,Rest of WA,Western Australia,594
Toowoomba,36910,Queensland,Greater Brisbane,Queensland,595
Toowoomba,36910,Queensland,Rest of Qld,Queensland,596
Torres,36950,Queensland,Rest of Qld,Queensland,597
Torres Strait Island,36960,Queensland,Rest of Qld,Queensland,598
Townsville,37010,Queensland,Rest of Qld,Queensland,599
Towong,26670,Victoria,Rest of NSW,New South Wales,600
Towong,26670,Victoria,Rest of Vic.,Victoria,601
Trayning,58400,Western Australia,Rest of WA,Western Australia,602
Tumby Bay,47910,South Australia,Rest of SA,South Australia,603
Tweed,17550,New South Wales,Rest of NSW,New South Wales,604
Tweed,17550,New South Wales,Rest of Qld,Queensland,605
Unincorp. Other Territories,99399,Other Territories,Other Territories,Other Territories,606
Unincorp. Other Territories,99399,Other Territories,Rest of NSW,New South Wales,607
Unincorporated ACT,89399,Australian Capital Territory,Australian Capital Territory,Australian Capital Territory,608
Unincorporated ACT,89399,Australian Capital Territory,Rest of NSW,New South Wales,609
Unincorporated NSW,19399,New South Wales,Rest of NSW,New South Wales,611
Unincorporated NSW,19399,New South Wales,Rest of Qld,Queensland,612
Unincorporated NSW,19399,New South Wales,Rest of SA,South Australia,613
Unincorporated NT,79399,Northern Territory,Greater Darwin,Northern Territory,614
Unincorporated NT,79399,Northern Territory,Rest of NT,Northern Territory,615
Unincorporated SA,49399,South Australia,Greater Adelaide,South Australia,616
Unincorporated SA,49399,South Australia,Rest of NSW,New South Wales,617
Unincorporated SA,49399,South Australia,Rest of NT,Northern Territory,618
Unincorporated SA,49399,South Australia,Rest of Qld,Queensland,619
Unincorporated SA,49399,South Australia,Rest of SA,South Australia,620
Unincorporated SA,49399,South Australia,Rest of Vic.,Victoria,621
Unincorporated SA,49399,South Australia,Rest of WA,Western Australia,622
Unincorporated Vic,29399,Victoria,Greater Melbourne,Victoria,623
Unincorporated Vic,29399,Victoria,Rest of Vic.,Victoria,624
Unley,47980,South Australia,Greater Adelaide,South Australia,625
Upper Gascoyne,58470,Western Australia,Rest of WA,Western Australia,626
Upper Hunter Shire,17620,New South Wales,Rest of NSW,New South Wales,627
Upper Lachlan Shire,17640,New South Wales,Greater Sydney,New South Wales,628
Upper Lachlan Shire,17640,New South Wales,Rest of NSW,New South Wales,629
Uralla,17650,New South Wales,Rest of NSW,New South Wales,630
Victor Harbor,48050,South Australia,Rest of SA,South Australia,631
Victoria Daly,74550,Northern Territory,Rest of NT,Northern Territory,632
Victoria Daly,74550,Northern Territory,Rest of WA,Western Australia,633
Victoria Park,58510,Western Australia,Greater Perth,Western Australia,634
Victoria Plains,58540,Western Australia,Rest of WA,Western Australia,635
Vincent,58570,Western Australia,Greater Perth,Western Australia,636
Wagait,74560,Northern Territory,Rest of NT,Northern Territory,637
Wagga Wagga,17750,New South Wales,Rest of NSW,New South Wales,638
Wagin,58610,Western Australia,Rest of WA,Western Australia,639
Wakefield,48130,South Australia,Rest of SA,South Australia,640
Walcha,17850,New South Wales,Rest of NSW,New South Wales,641
Walgett,17900,New South Wales,Rest of NSW,New South Wales,642
Walgett,17900,New South Wales,Rest of Qld,Queensland,643
Walkerville,48260,South Australia,Greater Adelaide,South Australia,644
Wandering,58680,Western Australia,Greater Perth,Western Australia,645
Wandering,58680,Western Australia,Rest of WA,Western Australia,646
Wangaratta,26700,Victoria,Rest of Vic.,Victoria,647
Wanneroo,58760,Western Australia,Greater Perth,Western Australia,648
Wanneroo,58760,Western Australia,Rest of WA,Western Australia,649
Waratah-Wynyard,65410,Tasmania,Rest of Tas.,Tasmania,650
Waroona,58820,Western Australia,Greater Perth,Western Australia,651
Waroona,58820,Western Australia,Rest of WA,Western Australia,652
Warren,17950,New South Wales,Rest of NSW,New South Wales,653
Warrnambool,26730,Victoria,Rest of Vic.,Victoria,654
Warrumbungle Shire,18020,New South Wales,Rest of NSW,New South Wales,655
Wattle Range,48340,South Australia,Rest of SA,South Australia,656
Wattle Range,48340,South Australia,Rest of Vic.,Victoria,657
Waverley,18050,New South Wales,Greater Sydney,New South Wales,658
Weddin,18100,New South Wales,Rest of NSW,New South Wales,659
Weipa,37300,Queensland,Rest of Qld,Queensland,660
Wellington,26810,Victoria,Rest of Vic.,Victoria,661
Wentworth,18200,New South Wales,Rest of NSW,New South Wales,662
Wentworth,18200,New South Wales,Rest of SA,South Australia,663
Wentworth,18200,New South Wales,Rest of Vic.,Victoria,664
West Arnhem,74660,Northern Territory,Rest of NT,Northern Territory,665
West Arthur,58890,Western Australia,Rest of WA,Western Australia,666
West Coast,65610,Tasmania,Rest of Tas.,Tasmania,667
West Daly,74680,Northern Territory,Rest of NT,Northern Territory,668
West Tamar,65810,Tasmania,Rest of Tas.,Tasmania,669
West Torrens,48410,South Australia,Greater Adelaide,South Australia,670
West Wimmera,26890,Victoria,Rest of SA,South Australia,671
West Wimmera,26890,Victoria,Rest of Vic.,Victoria,672
Western Downs,37310,Queensland,Rest of Qld,Queensland,673
Westonia,59030,Western Australia,Rest of WA,Western Australia,674
Whitehorse,26980,Victoria,Greater Melbourne,Victoria,675
Whitsunday,37340,Queensland,Rest of Qld,Queensland,676
Whittlesea,27070,Victoria,Greater Melbourne,Victoria,677
Whyalla,48540,South Australia,Rest of SA,South Australia,678
Wickepin,59100,Western Australia,Rest of WA,Western Australia,679
Williams,59170,Western Australia,Rest of WA,Western Australia,680
Willoughby,18250,New South Wales,Greater Sydney,New South Wales,681
Wiluna,59250,Western Australia,Rest of WA,Western Australia,682
Wingecarribee,18350,New South Wales,Greater Sydney,New South Wales,683
Wingecarribee,18350,New South Wales,Rest of NSW,New South Wales,684
Winton,37400,Queensland,Rest of Qld,Queensland,685
Wodonga,27170,Victoria,Rest of NSW,New South Wales,686
Wodonga,27170,Victoria,Rest of Vic.,Victoria,687
Wollondilly,18400,New South Wales,Greater Sydney,New South Wales,688
Wollondilly,18400,New South Wales,Rest of NSW,New South Wales,689
Wollongong,18450,New South Wales,Greater Sydney,New South Wales,690
Wollongong,18450,New South Wales,Rest of NSW,New South Wales,691
Wongan-Ballidu,59310,Western Australia,Rest of WA,Western Australia,692
Woodanilling,59320,Western Australia,Rest of WA,Western Australia,693
Woollahra,18500,New South Wales,Greater Sydney,New South Wales,694
Woorabinda,37550,Queensland,Rest of Qld,Queensland,695
Wudinna,48640,South Australia,Rest of SA,South Australia,696
Wujal Wujal,37570,Queensland,Rest of Qld,Queensland,697
Wyalkatchem,59330,Western Australia,Rest of WA,Western Australia,698
Wyndham,27260,Victoria,Greater Melbourne,Victoria,699
Wyndham,27260,Victoria,Rest of Vic.,Victoria,700
Wyndham-East Kimberley,59340,Western Australia,Rest of NT,Northern Territory,701
Wyndham-East Kimberley,59340,Western Australia,Rest of WA,Western Australia,702
Yalgoo,59350,Western Australia,Rest of WA,Western Australia,703
Yankalilla,48750,South Australia,Greater Adelaide,South Australia,704
Yankalilla,48750,South Australia,Rest of SA,South Australia,705
Yarra,27350,Victoria,Greater Melbourne,Victoria,706
Yarra Ranges,27450,Victoria,Greater Melbourne,Victoria,707
Yarra Ranges,27450,Victoria,Rest of Vic.,Victoria,708
Yarrabah,37600,Queensland,Rest of Qld,Queensland,709
Yarriambiack,27630,Victoria,Rest of Vic.,Victoria,710
Yass Valley,18710,New South Wales,Australian Capital Territory,Australian Capital Territory,711
Yass Valley,18710,New South Wales,Rest of NSW,New South Wales,712
Yilgarn,59360,Western Australia,Rest of WA,Western Australia,713
York,59370,Western Australia,Greater Perth,Western Australia,714
York,59370,Western Australia,Rest of WA,Western Australia,715
Yorke Peninsula,48830,South Australia,Rest of SA,South Australia,716
