SA4 Code 2021,SA4 Name,LGA Code 2021,LGA,State,Gcc Name21,LGA Area (sq km),SA4 Area (sq km),Row Number
101,Capital Region,10470,Bathurst Regional,New South Wales,Rest of NSW,3817.8645,51896.2444,1
101,Capital Region,10550,Bega Valley,New South Wales,Rest of NSW,6278.5013,51896.2444,2
101,Capital Region,10800,Bland,New South Wales,Rest of NSW,8557.6536,51896.2444,3
101,Capital Region,12160,Cootamundra-Gundagai Regional,New South Wales,Rest of NSW,3981.4172,51896.2444,4
101,Capital Region,12350,Cowra,New South Wales,Rest of NSW,2808.7821,51896.2444,5
101,Capital Region,12750,Eurobodalla,New South Wales,Rest of NSW,3428.1695,51896.2444,6
101,Capital Region,13310,Goulburn Mulwaree,New South Wales,Rest of NSW,3220.0796,51896.2444,7
101,Capital Region,13910,Hilltops,New South Wales,Rest of NSW,7140.8865,51896.2444,8
101,Capital Region,16100,Oberon,New South Wales,Rest of NSW,3625.047,51896.2444,9
101,Capital Region,16490,Queanbeyan-Palerang Regional,New South Wales,Rest of NSW,5319.0075,51896.2444,10
101,Capital Region,16950,Shoalhaven,New South Wales,Rest of NSW,4567.2011,51896.2444,11
101,Capital Region,17040,Snowy Monaro Regional,New South Wales,Rest of NSW,15164.7904,51896.2444,12
101,Capital Region,17080,Snowy Valleys,New South Wales,Rest of NSW,8958.9215,51896.2444,13
101,Capital Region,17350,Temora,New South Wales,Rest of NSW,2802.0159,51896.2444,14
101,Capital Region,17640,Upper Lachlan Shire,New South Wales,Rest of NSW,7127.3957,51896.2444,15
101,Capital Region,18100,Weddin,New South Wales,Rest of NSW,3414.8566,51896.2444,16
101,Capital Region,18350,Wingecarribee,New South Wales,Rest of NSW,2689.3415,51896.2444,17
101,Capital Region,18400,Wollondilly,New South Wales,Rest of NSW,2555.4341,51896.2444,18
101,Capital Region,18710,Yass Valley,New South Wales,Rest of NSW,3995.017,51896.2444,19
101,Capital Region,89399,Unincorporated ACT,Australian Capital Territory,Rest of NSW,2358.133,51896.2444,20
102,Central Coast,11650,Central Coast (NSW),New South Wales,Greater Sydney,1681.0059,1681.0088,21
102,Central Coast,11720,Cessnock,New South Wales,Greater Sydney,1965.1593,1681.0088,22
102,Central Coast,13800,Hawkesbury,New South Wales,Greater Sydney,2775.1378,1681.0088,23
102,Central Coast,14000,Hornsby,New South Wales,Greater Sydney,455.0374,1681.0088,24
102,Central Coast,14650,Lake Macquarie,New South Wales,Greater Sydney,648.6393,1681.0088,25
102,Central Coast,17420,The Hills Shire,New South Wales,Greater Sydney,386.1583,1681.0088,26
103,Central West,10470,Bathurst Regional,New South Wales,Rest of NSW,3817.8645,70297.06,27
103,Central West,10800,Bland,New South Wales,Rest of NSW,8557.6536,70297.06,28
103,Central West,10850,Blayney,New South Wales,Rest of NSW,1524.647,70297.06,29
103,Central West,10900,Blue Mountains,New South Wales,Rest of NSW,1431.1442,70297.06,30
103,Central West,10950,Bogan,New South Wales,Rest of NSW,14599.8996,70297.06,31
103,Central West,11400,Cabonne,New South Wales,Rest of NSW,6022.3496,70297.06,32
103,Central West,11600,Carrathool,New South Wales,Rest of NSW,18934.4853,70297.06,33
103,Central West,11750,Cobar,New South Wales,Rest of NSW,45575.3512,70297.06,34
103,Central West,12000,Coolamon,New South Wales,Rest of NSW,2430.9037,70297.06,35
103,Central West,12350,Cowra,New South Wales,Rest of NSW,2808.7821,70297.06,36
103,Central West,12390,Dubbo Regional,New South Wales,Rest of NSW,7534.5251,70297.06,37
103,Central West,12900,Forbes,New South Wales,Rest of NSW,4710.128,70297.06,38
103,Central West,13800,Hawkesbury,New South Wales,Rest of NSW,2775.1378,70297.06,39
103,Central West,13910,Hilltops,New South Wales,Rest of NSW,7140.8865,70297.06,40
103,Central West,14600,Lachlan,New South Wales,Rest of NSW,14968.2539,70297.06,41
103,Central West,14870,Lithgow,New South Wales,Rest of NSW,4512.2561,70297.06,42
103,Central West,15270,Mid-Western Regional,New South Wales,Rest of NSW,8752.2589,70297.06,43
103,Central West,15650,Muswellbrook,New South Wales,Rest of NSW,3404.8841,70297.06,44
103,Central West,15800,Narrandera,New South Wales,Rest of NSW,4116.3458,70297.06,45
103,Central West,15850,Narromine,New South Wales,Rest of NSW,5261.5165,70297.06,46
103,Central West,16100,Oberon,New South Wales,Rest of NSW,3625.047,70297.06,47
103,Central West,16150,Orange,New South Wales,Rest of NSW,284.2159,70297.06,48
103,Central West,16200,Parkes,New South Wales,Rest of NSW,5957.6137,70297.06,49
103,Central West,17000,Singleton,New South Wales,Rest of NSW,4892.7168,70297.06,50
103,Central West,17350,Temora,New South Wales,Rest of NSW,2802.0159,70297.06,51
103,Central West,17620,Upper Hunter Shire,New South Wales,Rest of NSW,8096.0889,70297.06,52
103,Central West,17640,Upper Lachlan Shire,New South Wales,Rest of NSW,7127.3957,70297.06,53
103,Central West,17950,Warren,New South Wales,Rest of NSW,10753.7672,70297.06,54
103,Central West,18020,Warrumbungle Shire,New South Wales,Rest of NSW,12372.12,70297.06,55
103,Central West,18100,Weddin,New South Wales,Rest of NSW,3414.8566,70297.06,56
104,Coffs Harbour - Grafton,10180,Armidale Regional,New South Wales,Rest of NSW,7809.4406,13229.7577,57
104,Coffs Harbour - Grafton,10600,Bellingen,New South Wales,Rest of NSW,1600.4338,13229.7577,58
104,Coffs Harbour - Grafton,11730,Clarence Valley,New South Wales,Rest of NSW,10428.6804,13229.7577,59
104,Coffs Harbour - Grafton,11800,Coffs Harbour,New South Wales,Rest of NSW,1173.7435,13229.7577,60
104,Coffs Harbour - Grafton,13010,Glen Innes Severn,New South Wales,Rest of NSW,5479.977,13229.7577,61
104,Coffs Harbour - Grafton,14350,Kempsey,New South Wales,Rest of NSW,3375.6704,13229.7577,62
104,Coffs Harbour - Grafton,14550,Kyogle,New South Wales,Rest of NSW,3584.1829,13229.7577,63
104,Coffs Harbour - Grafton,15700,Nambucca Valley,New South Wales,Rest of NSW,1491.3431,13229.7577,64
104,Coffs Harbour - Grafton,16610,Richmond Valley,New South Wales,Rest of NSW,3047.3748,13229.7577,65
104,Coffs Harbour - Grafton,17400,Tenterfield,New South Wales,Rest of NSW,7324.3072,13229.7577,66
105,Far West and Orana,10300,Balranald,New South Wales,Rest of NSW,21690.7493,339355.6461,67
105,Far West and Orana,10950,Bogan,New South Wales,Rest of NSW,14599.8996,339355.6461,68
105,Far West and Orana,11150,Bourke,New South Wales,Rest of NSW,41598.3722,339355.6461,69
105,Far West and Orana,11200,Brewarrina,New South Wales,Rest of NSW,19162.0296,339355.6461,70
105,Far West and Orana,11250,Broken Hill,New South Wales,Rest of NSW,170.1153,339355.6461,71
105,Far West and Orana,11400,Cabonne,New South Wales,Rest of NSW,6022.3496,339355.6461,72
105,Far West and Orana,11600,Carrathool,New South Wales,Rest of NSW,18934.4853,339355.6461,73
105,Far West and Orana,11700,Central Darling,New South Wales,Rest of NSW,53492.193,339355.6461,74
105,Far West and Orana,11750,Cobar,New South Wales,Rest of NSW,45575.3512,339355.6461,75
105,Far West and Orana,12150,Coonamble,New South Wales,Rest of NSW,9916.0535,339355.6461,76
105,Far West and Orana,12390,Dubbo Regional,New South Wales,Rest of NSW,7534.5251,339355.6461,77
105,Far West and Orana,12950,Gilgandra,New South Wales,Rest of NSW,4831.5057,339355.6461,78
105,Far West and Orana,13550,Gunnedah,New South Wales,Rest of NSW,4987.0295,339355.6461,79
105,Far West and Orana,14600,Lachlan,New South Wales,Rest of NSW,14968.2539,339355.6461,80
105,Far West and Orana,14920,Liverpool Plains,New South Wales,Rest of NSW,5082.2398,339355.6461,81
105,Far West and Orana,15270,Mid-Western Regional,New South Wales,Rest of NSW,8752.2589,339355.6461,82
105,Far West and Orana,15300,Moree Plains,New South Wales,Rest of NSW,17902.7033,339355.6461,83
105,Far West and Orana,15750,Narrabri,New South Wales,Rest of NSW,13014.9937,339355.6461,84
105,Far West and Orana,15850,Narromine,New South Wales,Rest of NSW,5261.5165,339355.6461,85
105,Far West and Orana,16200,Parkes,New South Wales,Rest of NSW,5957.6137,339355.6461,86
105,Far West and Orana,17620,Upper Hunter Shire,New South Wales,Rest of NSW,8096.0889,339355.6461,87
105,Far West and Orana,17900,Walgett,New South Wales,Rest of NSW,22308.2528,339355.6461,88
105,Far West and Orana,17950,Warren,New South Wales,Rest of NSW,10753.7672,339355.6461,89
105,Far West and Orana,18020,Warrumbungle Shire,New South Wales,Rest of NSW,12372.12,339355.6461,90
105,Far West and Orana,18200,Wentworth,New South Wales,Rest of NSW,26255.9338,339355.6461,91
105,Far West and Orana,19399,Unincorporated NSW,New South Wales,Rest of NSW,93208.9194,339355.6461,92
106,Hunter Valley exc Newcastle,11650,Central Coast (NSW),New South Wales,Rest of NSW,1681.0059,21491.2917,93
106,Hunter Valley exc Newcastle,11720,Cessnock,New South Wales,Rest of NSW,1965.1593,21491.2917,94
106,Hunter Valley exc Newcastle,12700,Dungog,New South Wales,Rest of NSW,2249.9983,21491.2917,95
106,Hunter Valley exc Newcastle,13800,Hawkesbury,New South Wales,Rest of NSW,2775.1378,21491.2917,96
106,Hunter Valley exc Newcastle,14650,Lake Macquarie,New South Wales,Rest of NSW,648.6393,21491.2917,97
106,Hunter Valley exc Newcastle,14870,Lithgow,New South Wales,Rest of NSW,4512.2561,21491.2917,98
106,Hunter Valley exc Newcastle,14920,Liverpool Plains,New South Wales,Rest of NSW,5082.2398,21491.2917,99
106,Hunter Valley exc Newcastle,15050,Maitland,New South Wales,Rest of NSW,391.5089,21491.2917,100
106,Hunter Valley exc Newcastle,15240,Mid-Coast,New South Wales,Rest of NSW,10053.8633,21491.2917,101
106,Hunter Valley exc Newcastle,15270,Mid-Western Regional,New South Wales,Rest of NSW,8752.2589,21491.2917,102
106,Hunter Valley exc Newcastle,15650,Muswellbrook,New South Wales,Rest of NSW,3404.8841,21491.2917,103
106,Hunter Valley exc Newcastle,15900,Newcastle,New South Wales,Rest of NSW,186.7255,21491.2917,104
106,Hunter Valley exc Newcastle,16400,Port Stephens,New South Wales,Rest of NSW,858.4357,21491.2917,105
106,Hunter Valley exc Newcastle,17000,Singleton,New South Wales,Rest of NSW,4892.7168,21491.2917,106
106,Hunter Valley exc Newcastle,17310,Tamworth Regional,New South Wales,Rest of NSW,9884.3505,21491.2917,107
106,Hunter Valley exc Newcastle,17620,Upper Hunter Shire,New South Wales,Rest of NSW,8096.0889,21491.2917,108
106,Hunter Valley exc Newcastle,17850,Walcha,New South Wales,Rest of NSW,6261.0243,21491.2917,109
106,Hunter Valley exc Newcastle,18020,Warrumbungle Shire,New South Wales,Rest of NSW,12372.12,21491.2917,110
107,Illawarra,11500,Campbelltown (NSW),New South Wales,Rest of NSW,311.4117,1539.2405,111
107,Illawarra,14400,Kiama,New South Wales,Rest of NSW,257.6638,1539.2405,112
107,Illawarra,16900,Shellharbour,New South Wales,Rest of NSW,147.4208,1539.2405,113
107,Illawarra,16950,Shoalhaven,New South Wales,Rest of NSW,4567.2011,1539.2405,114
107,Illawarra,17150,Sutherland Shire,New South Wales,Rest of NSW,333.5806,1539.2405,115
107,Illawarra,18350,Wingecarribee,New South Wales,Rest of NSW,2689.3415,1539.2405,116
107,Illawarra,18400,Wollondilly,New South Wales,Rest of NSW,2555.4341,1539.2405,117
107,Illawarra,18450,Wollongong,New South Wales,Rest of NSW,684.3076,1539.2405,118
108,Mid North Coast,10180,Armidale Regional,New South Wales,Rest of NSW,7809.4406,18851.4986,119
108,Mid North Coast,10600,Bellingen,New South Wales,Rest of NSW,1600.4338,18851.4986,120
108,Mid North Coast,12700,Dungog,New South Wales,Rest of NSW,2249.9983,18851.4986,121
108,Mid North Coast,14350,Kempsey,New South Wales,Rest of NSW,3375.6704,18851.4986,122
108,Mid North Coast,15240,Mid-Coast,New South Wales,Rest of NSW,10053.8633,18851.4986,123
108,Mid North Coast,15700,Nambucca Valley,New South Wales,Rest of NSW,1491.3431,18851.4986,124
108,Mid North Coast,16380,Port Macquarie-Hastings,New South Wales,Rest of NSW,3682.3915,18851.4986,125
108,Mid North Coast,16400,Port Stephens,New South Wales,Rest of NSW,858.4357,18851.4986,126
108,Mid North Coast,17620,Upper Hunter Shire,New South Wales,Rest of NSW,8096.0889,18851.4986,127
108,Mid North Coast,17850,Walcha,New South Wales,Rest of NSW,6261.0243,18851.4986,128
108,Mid North Coast,19399,Unincorporated NSW,New South Wales,Rest of NSW,93208.9194,18851.4986,129
109,Murray,10050,Albury,New South Wales,Rest of NSW,305.6386,97796.4898,130
109,Murray,10300,Balranald,New South Wales,Rest of NSW,21690.7493,97796.4898,131
109,Murray,10650,Berrigan,New South Wales,Rest of NSW,2065.8878,97796.4898,132
109,Murray,11600,Carrathool,New South Wales,Rest of NSW,18934.4853,97796.4898,133
109,Murray,11700,Central Darling,New South Wales,Rest of NSW,53492.193,97796.4898,134
109,Murray,12730,Edward River,New South Wales,Rest of NSW,8883.4463,97796.4898,135
109,Murray,12870,Federation,New South Wales,Rest of NSW,5684.9253,97796.4898,136
109,Murray,13340,Greater Hume Shire,New South Wales,Rest of NSW,5749.3875,97796.4898,137
109,Murray,13850,Hay,New South Wales,Rest of NSW,11325.9324,97796.4898,138
109,Murray,14950,Lockhart,New South Wales,Rest of NSW,2895.8049,97796.4898,139
109,Murray,15520,Murray River,New South Wales,Rest of NSW,11863.0162,97796.4898,140
109,Murray,15560,Murrumbidgee,New South Wales,Rest of NSW,6880.7902,97796.4898,141
109,Murray,17080,Snowy Valleys,New South Wales,Rest of NSW,8958.9215,97796.4898,142
109,Murray,17750,Wagga Wagga,New South Wales,Rest of NSW,4824.4888,97796.4898,143
109,Murray,18200,Wentworth,New South Wales,Rest of NSW,26255.9338,97796.4898,144
109,Murray,19399,Unincorporated NSW,New South Wales,Rest of NSW,93208.9194,97796.4898,145
110,New England and North West,10180,Armidale Regional,New South Wales,Rest of NSW,7809.4406,99139.8999,146
110,New England and North West,10600,Bellingen,New South Wales,Rest of NSW,1600.4338,99139.8999,147
110,New England and North West,11730,Clarence Valley,New South Wales,Rest of NSW,10428.6804,99139.8999,148
110,New England and North West,12150,Coonamble,New South Wales,Rest of NSW,9916.0535,99139.8999,149
110,New England and North West,13010,Glen Innes Severn,New South Wales,Rest of NSW,5479.977,99139.8999,150
110,New England and North West,13550,Gunnedah,New South Wales,Rest of NSW,4987.0295,99139.8999,151
110,New England and North West,13660,Gwydir,New South Wales,Rest of NSW,9259.6544,99139.8999,152
110,New England and North West,14220,Inverell,New South Wales,Rest of NSW,9404.7564,99139.8999,153
110,New England and North West,14350,Kempsey,New South Wales,Rest of NSW,3375.6704,99139.8999,154
110,New England and North West,14550,Kyogle,New South Wales,Rest of NSW,3584.1829,99139.8999,155
110,New England and North West,14920,Liverpool Plains,New South Wales,Rest of NSW,5082.2398,99139.8999,156
110,New England and North West,15240,Mid-Coast,New South Wales,Rest of NSW,10053.8633,99139.8999,157
110,New England and North West,15300,Moree Plains,New South Wales,Rest of NSW,17902.7033,99139.8999,158
110,New England and North West,15700,Nambucca Valley,New South Wales,Rest of NSW,1491.3431,99139.8999,159
110,New England and North West,15750,Narrabri,New South Wales,Rest of NSW,13014.9937,99139.8999,160
110,New England and North West,16380,Port Macquarie-Hastings,New South Wales,Rest of NSW,3682.3915,99139.8999,161
110,New England and North West,17310,Tamworth Regional,New South Wales,Rest of NSW,9884.3505,99139.8999,162
110,New England and North West,17400,Tenterfield,New South Wales,Rest of NSW,7324.3072,99139.8999,163
110,New England and North West,17620,Upper Hunter Shire,New South Wales,Rest of NSW,8096.0889,99139.8999,164
110,New England and North West,17650,Uralla,New South Wales,Rest of NSW,3226.5327,99139.8999,165
110,New England and North West,17850,Walcha,New South Wales,Rest of NSW,6261.0243,99139.8999,166
110,New England and North West,17900,Walgett,New South Wales,Rest of NSW,22308.2528,99139.8999,167
110,New England and North West,18020,Warrumbungle Shire,New South Wales,Rest of NSW,12372.12,99139.8999,168
111,Newcastle and Lake Macquarie,11650,Central Coast (NSW),New South Wales,Rest of NSW,1681.0059,870.5821,169
111,Newcastle and Lake Macquarie,11720,Cessnock,New South Wales,Rest of NSW,1965.1593,870.5821,170
111,Newcastle and Lake Macquarie,14650,Lake Macquarie,New South Wales,Rest of NSW,648.6393,870.5821,171
111,Newcastle and Lake Macquarie,15050,Maitland,New South Wales,Rest of NSW,391.5089,870.5821,172
111,Newcastle and Lake Macquarie,15900,Newcastle,New South Wales,Rest of NSW,186.7255,870.5821,173
111,Newcastle and Lake Macquarie,16400,Port Stephens,New South Wales,Rest of NSW,858.4357,870.5821,174
112,Richmond - Tweed,10250,Ballina,New South Wales,Rest of NSW,484.9692,10271.3201,175
112,Richmond - Tweed,11350,Byron,New South Wales,Rest of NSW,565.8027,10271.3201,176
112,Richmond - Tweed,11730,Clarence Valley,New South Wales,Rest of NSW,10428.6804,10271.3201,177
112,Richmond - Tweed,14550,Kyogle,New South Wales,Rest of NSW,3584.1829,10271.3201,178
112,Richmond - Tweed,14850,Lismore,New South Wales,Rest of NSW,1287.7042,10271.3201,179
112,Richmond - Tweed,16610,Richmond Valley,New South Wales,Rest of NSW,3047.3748,10271.3201,180
112,Richmond - Tweed,17400,Tenterfield,New South Wales,Rest of NSW,7324.3072,10271.3201,181
112,Richmond - Tweed,17550,Tweed,New South Wales,Rest of NSW,1307.7853,10271.3201,182
113,Riverina,10800,Bland,New South Wales,Rest of NSW,8557.6536,56984.9805,183
113,Riverina,11600,Carrathool,New South Wales,Rest of NSW,18934.4853,56984.9805,184
113,Riverina,11700,Central Darling,New South Wales,Rest of NSW,53492.193,56984.9805,185
113,Riverina,11750,Cobar,New South Wales,Rest of NSW,45575.3512,56984.9805,186
